z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
77,117,194Ir,2.22E+3,1.25,-9.66E+1,2.00,-1.11E+3,2.00,7.92E+3,6.90E-3,-1.01E+1,6.90E-3
77,117,194Ir,2.22E+3,1.25,-9.66E+1,2.00,-1.11E+3,2.00,7.92E+3,6.90E-3,-1.01E+1,6.90E-3
77,114,191Ir,-1.01E+3,3.63,-3.13E+2,1.14,-1.33E+3,1.14,7.94E+3,6.90E-3,-3.37,6.90E-3
77,114,191Ir,-1.01E+3,3.63,-3.13E+2,1.14,-1.33E+3,1.14,7.94E+3,6.90E-3,-3.37,6.90E-3
77,114,191Ir,-1.01E+3,3.63,-3.13E+2,1.14,-1.33E+3,1.14,7.94E+3,6.90E-3,-3.37,6.90E-3
77,115,192Ir,1.45E+3,2.27,1.04E+3,2.39,2.46E+1,2.39,7.93E+3,6.80E-3,-5.39,6.80E-3
77,115,192Ir,1.45E+3,2.27,1.04E+3,2.39,2.46E+1,2.39,7.93E+3,6.80E-3,-5.39,6.80E-3
77,115,192Ir,1.45E+3,2.27,1.04E+3,2.39,2.46E+1,2.39,7.93E+3,6.80E-3,-5.39,6.80E-3
77,101,178Ir,-4.25E+3,2.13E+1,7.28E+3,2.32E+1,6.26E+3,2.32E+1,7.93E+3,1.05E-1,5.34,1.05E-1
77,102,179Ir,-5.81E+3,1.26E+1,4.93E+3,1.83E+1,3.91E+3,1.83E+1,7.94E+3,5.46E-2,5.62,5.46E-2
77,100,177Ir,-6.67E+3,2.48E+1,5.90E+3,2.45E+1,4.88E+3,2.45E+1,7.93E+3,1.11E-1,5.13,1.11E-1
77,109,186Ir,-1.30E+3,2.73E+1,3.82E+3,1.65E+1,2.80E+3,1.65E+1,7.95E+3,8.88E-2,2.10,8.88E-2
77,109,186Ir,-1.30E+3,2.73E+1,3.82E+3,1.65E+1,2.80E+3,1.65E+1,7.95E+3,8.88E-2,2.10,8.88E-2
77,107,184Ir,-2.27E+3,3.15E+1,4.64E+3,2.79E+1,3.61E+3,2.79E+1,7.95E+3,1.51E-1,2.64,1.51E-1
77,108,185Ir,-3.64E+3,3.80E+1,2.47E+3,2.79E+1,1.44E+3,2.79E+1,7.96E+3,1.51E-1,2.62,1.51E-1
77,105,182Ir,-2.88E+3,2.47E+1,5.55E+3,3.02E+1,4.53E+3,3.02E+1,7.95E+3,1.15E-1,4.65,1.15E-1
77,106,183Ir,-4.42E+3,2.84E+1,3.46E+3,5.28E+1,2.43E+3,5.28E+1,7.96E+3,1.34E-1,4.33,1.34E-1
77,103,180Ir,-3.54E+3,2.39E+1,6.37E+3,2.68E+1,5.35E+3,2.68E+1,7.94E+3,1.20E-1,5.36,1.20E-1
77,104,181Ir,-5.08E+3,1.46E+1,4.08E+3,2.58E+1,3.06E+3,2.58E+1,7.95E+3,2.90E-2,5.32,2.90E-2
77,90,167Ir,-1.03E+4,3.07E+2,9.42E+3,8.29E+1,8.40E+3,8.29E+1,7.81E+3,1.09E-1,-2.21E+1,1.09E-1
77,90,167Ir,-1.03E+4,3.07E+2,9.42E+3,8.29E+1,8.40E+3,8.29E+1,7.81E+3,1.09E-1,-2.21E+1,1.09E-1
77,91,168Ir,-7.65E+3,1.40E+2,1.13E+4,5.60E+1,1.03E+4,5.60E+1,7.82E+3,3.28E-1,-1.69E+1,3.28E-1
77,91,168Ir,-7.65E+3,1.40E+2,1.13E+4,5.60E+1,1.03E+4,5.60E+1,7.82E+3,3.28E-1,-1.69E+1,3.28E-1
77,92,169Ir,-9.62E+3,2.02E+2,8.62E+3,3.48E+1,7.60E+3,3.48E+1,7.84E+3,1.37E-1,-1.29E+1,1.37E-1
77,92,169Ir,-9.62E+3,2.02E+2,8.62E+3,3.48E+1,7.60E+3,3.48E+1,7.84E+3,1.37E-1,-1.29E+1,1.37E-1
77,93,170Ir,-6.88E+3,1.02E+2,1.07E+4,1.02E+2,9.72E+3,1.02E+2,7.85E+3,1.00,-7.30,1.00
77,93,170Ir,-6.88E+3,1.02E+2,1.07E+4,1.02E+2,9.72E+3,1.02E+2,7.85E+3,1.00,-7.30,1.00
77,94,171Ir,-8.94E+3,8.96E+1,7.88E+3,4.25E+1,6.86E+3,4.25E+1,7.87E+3,2.24E-1,-5.28,2.24E-1
77,94,171Ir,-8.94E+3,8.96E+1,7.88E+3,4.25E+1,6.86E+3,4.25E+1,7.87E+3,2.24E-1,-5.28,2.24E-1
77,95,172Ir,-6.27E+3,3.40E+1,9.86E+3,3.48E+1,8.84E+3,3.48E+1,7.88E+3,1.88E-1,-2.03,1.88E-1
77,95,172Ir,-6.27E+3,3.40E+1,9.86E+3,3.48E+1,8.84E+3,3.48E+1,7.88E+3,1.88E-1,-2.03,1.88E-1
77,96,173Ir,-8.33E+3,6.43E+1,7.16E+3,1.82E+1,6.14E+3,1.82E+1,7.89E+3,6.09E-2,-4.29E-1,6.09E-2
77,96,173Ir,-8.33E+3,6.43E+1,7.16E+3,1.82E+1,6.14E+3,1.82E+1,7.89E+3,6.09E-2,-4.29E-1,6.09E-2
77,97,174Ir,-5.46E+3,1.52E+1,9.20E+3,1.52E+1,8.18E+3,1.52E+1,7.90E+3,6.45E-2,2.82,6.45E-2
77,97,174Ir,-5.46E+3,1.52E+1,9.20E+3,1.52E+1,8.18E+3,1.52E+1,7.90E+3,6.45E-2,2.82,6.45E-2
77,98,175Ir,-7.68E+3,2.23E+1,6.71E+3,1.70E+1,5.68E+3,1.70E+1,7.91E+3,7.08E-2,3.46,7.08E-2
77,98,175Ir,-7.68E+3,2.23E+1,6.71E+3,1.70E+1,5.68E+3,1.70E+1,7.91E+3,7.08E-2,3.46,7.08E-2
77,99,176Ir,-4.94E+3,1.50E+1,8.24E+3,1.36E+1,7.22E+3,1.36E+1,7.92E+3,4.59E-2,4.41,4.59E-2
77,87,164Ir,,,1.29E+4,3.50E+2,1.19E+4,3.50E+2,7.75E+3,2.00,-4.14E+1,2.00
77,88,165Ir,-1.12E+4,4.30E+2,1.01E+4,2.55E+2,9.12E+3,2.55E+2,7.77E+3,1.00,-3.43E+1,1.00
77,88,165Ir,-1.12E+4,4.30E+2,1.01E+4,2.55E+2,9.12E+3,2.55E+2,7.77E+3,1.00,-3.43E+1,1.00
77,89,166Ir,-8.52E+3,3.61E+2,1.21E+4,2.01E+2,1.11E+4,2.01E+2,7.78E+3,1.00,-2.76E+1,1.00
77,89,166Ir,-8.52E+3,3.61E+2,1.21E+4,2.01E+2,1.11E+4,2.01E+2,7.78E+3,1.00,-2.76E+1,1.00
78,130,208Pt,5.41E+3,5.00E+2,,,,,7.78E+3,2.00,-6.58,2.00
78,100,178Pt,-9.69E+3,1.44E+1,4.25E+3,2.13E+1,3.23E+3,2.13E+1,7.90E+3,5.69E-2,1.80,5.69E-2
78,101,179Pt,-7.27E+3,1.41E+1,5.81E+3,1.26E+1,4.79E+3,1.26E+1,7.91E+3,4.46E-2,3.28,4.46E-2
78,106,184Pt,-7.01E+3,2.67E+1,2.27E+3,3.15E+1,1.25E+3,3.15E+1,7.94E+3,8.01E-2,3.81,8.01E-2
78,107,185Pt,-4.82E+3,2.59E+1,3.64E+3,3.80E+1,2.62E+3,3.80E+1,7.93E+3,1.39E-1,3.91,1.39E-1
78,107,185Pt,-4.82E+3,2.59E+1,3.64E+3,3.80E+1,2.62E+3,3.80E+1,7.93E+3,1.39E-1,3.91,1.39E-1
78,108,186Pt,-6.14E+3,3.02E+1,1.30E+3,2.73E+1,2.85E+2,2.73E+1,7.94E+3,1.16E-1,2.89,1.16E-1
78,109,187Pt,-3.65E+3,2.74E+1,2.86E+3,3.68E+1,1.84E+3,3.68E+1,7.94E+3,1.28E-1,3.91,1.28E-1
78,102,180Pt,-8.80E+3,1.11E+1,3.54E+3,2.39E+1,2.52E+3,2.39E+1,7.92E+3,5.58E-2,3.27,5.58E-2
78,103,181Pt,-6.51E+3,2.42E+1,5.08E+3,1.46E+1,4.05E+3,1.46E+1,7.92E+3,7.56E-2,4.27,7.56E-2
78,104,182Pt,-7.86E+3,2.28E+1,2.88E+3,2.47E+1,1.86E+3,2.47E+1,7.93E+3,7.19E-2,4.10,7.19E-2
78,105,183Pt,-5.58E+3,1.70E+1,4.42E+3,2.84E+1,3.40E+3,2.84E+1,7.93E+3,7.77E-2,4.87,7.77E-2
78,105,183Pt,-5.58E+3,1.70E+1,4.42E+3,2.84E+1,3.40E+3,2.84E+1,7.93E+3,7.77E-2,4.87,7.77E-2
78,110,188Pt,-5.44E+3,5.95,5.23E+2,8.68,-4.98E+2,8.68,7.94E+3,2.82E-2,1.18,2.82E-2
78,111,189Pt,-2.88E+3,2.24E+1,1.98E+3,1.36E+1,9.58E+2,1.36E+1,7.94E+3,5.34E-2,1.26,5.34E-2
78,112,190Pt,-4.47E+3,3.50,-5.52E+2,1.28,-1.57E+3,1.28,7.94E+3,3.50E-3,-1.71,3.50E-3
78,117,195Pt,-2.26E+2,9.99E-1,-1.10E+3,1.26,-2.12E+3,1.26,7.92E+3,2.60E-3,-1.17E+1,2.60E-3
78,117,195Pt,-2.26E+2,9.99E-1,-1.10E+3,1.26,-2.12E+3,1.26,7.92E+3,2.60E-3,-1.17E+1,2.60E-3
78,118,196Pt,-1.50E+3,2.96,-3.20E+3,3.84E+1,-4.23E+3,3.84E+1,7.92E+3,2.60E-3,-1.46E+1,2.60E-3
78,119,197Pt,7.19E+2,5.02E-1,-2.15E+3,2.01E+1,-3.17E+3,2.01E+1,7.91E+3,2.70E-3,-1.66E+1,2.70E-3
78,119,197Pt,7.19E+2,5.02E-1,-2.15E+3,2.01E+1,-3.17E+3,2.01E+1,7.91E+3,2.70E-3,-1.66E+1,2.70E-3
78,113,191Pt,-1.90E+3,6.42,1.01E+3,3.63,-1.15E+1,3.63,7.93E+3,2.16E-2,-2.05,2.16E-2
78,114,192Pt,-3.51E+3,1.56E+1,-1.45E+3,2.27,-2.47E+3,2.27,7.94E+3,1.34E-2,-5.48,1.34E-2
78,115,193Pt,-1.07E+3,8.76,5.66E+1,2.99E-1,-9.65E+2,2.99E-1,7.93E+3,7.00E-3,-6.46,7.00E-3
78,115,193Pt,-1.07E+3,8.76,5.66E+1,2.99E-1,-9.65E+2,2.99E-1,7.93E+3,7.00E-3,-6.46,7.00E-3
78,116,194Pt,-2.54E+3,2.11,-2.22E+3,1.25,-3.25E+3,1.25,7.93E+3,2.60E-3,-9.96,2.60E-3
78,120,198Pt,-3.23E+2,2.05,-4.19E+3,2.00E+2,-5.21E+3,2.00E+2,7.91E+3,1.06E-2,-1.91E+1,1.06E-2
78,121,199Pt,1.70E+3,2.12,-2.99E+3,4.10E+1,-4.01E+3,4.10E+1,7.90E+3,1.09E-2,-2.11E+1,1.09E-2
78,121,199Pt,1.70E+3,2.12,-2.99E+3,4.10E+1,-4.01E+3,4.10E+1,7.90E+3,1.09E-2,-2.11E+1,1.09E-2
78,122,200Pt,6.40E+2,3.34E+1,-5.03E+3,1.97E+2,-6.05E+3,1.97E+2,7.89E+3,1.00E-1,-2.38E+1,1.00E-1
78,123,201Pt,2.66E+3,5.00E+1,-3.90E+3,2.06E+2,-4.92E+3,2.06E+2,7.88E+3,2.49E-1,-2.55E+1,2.49E-1
78,128,206Pt,4.95E+3,4.24E+2,,,,,7.82E+3,1.00,-1.78E+1,1.00
78,129,207Pt,6.50E+3,5.00E+2,,,,,7.79E+3,2.00,-1.30E+1,2.00
78,124,202Pt,1.66E+3,3.42E+1,-6.05E+3,3.01E+2,-7.07E+3,3.01E+2,7.88E+3,1.24E-1,-2.82E+1,1.24E-1
78,125,203Pt,3.63E+3,2.00E+2,-5.14E+3,4.47E+2,-6.16E+3,4.47E+2,7.86E+3,1.00,-2.99E+1,1.00
78,125,203Pt,3.63E+3,2.00E+2,-5.14E+3,4.47E+2,-6.16E+3,4.47E+2,7.86E+3,1.00,-2.99E+1,1.00
78,126,204Pt,2.77E+3,2.83E+2,-8.05E+3,4.47E+2,-9.07E+3,4.47E+2,7.85E+3,1.00,-3.01E+1,1.00
78,127,205Pt,5.75E+3,3.61E+2,-7.22E+3,5.83E+2,-8.24E+3,5.83E+2,7.83E+3,1.00,-2.44E+1,1.00
78,88,166Pt,,,8.52E+3,3.61E+2,7.50E+3,3.61E+2,7.73E+3,2.00,-4.34E+1,2.00
78,87,165Pt,,,1.12E+4,4.30E+2,1.02E+4,4.30E+2,7.70E+3,2.00,-4.85E+1,2.00
78,89,167Pt,,,1.03E+4,3.07E+2,9.29E+3,3.07E+2,7.74E+3,2.00,-3.47E+1,2.00
78,91,169Pt,-1.06E+4,3.59E+2,9.62E+3,2.02E+2,8.60E+3,2.02E+2,7.78E+3,1.00,-2.32E+1,1.00
78,90,168Pt,-1.35E+4,4.27E+2,7.65E+3,1.40E+2,6.63E+3,1.40E+2,7.77E+3,8.92E-1,-3.11E+1,8.92E-1
78,93,171Pt,-9.90E+3,8.35E+1,8.94E+3,8.96E+1,7.92E+3,8.96E+1,7.81E+3,4.73E-1,-1.31E+1,4.73E-1
78,92,170Pt,-1.25E+4,2.02E+2,6.88E+3,1.02E+2,5.86E+3,1.02E+2,7.80E+3,1.07E-1,-1.98E+1,1.07E-1
78,95,173Pt,-9.10E+3,6.73E+1,8.33E+3,6.43E+1,7.30E+3,6.43E+1,7.84E+3,3.66E-1,-5.71,3.66E-1
78,94,172Pt,-1.17E+4,5.71E+1,6.27E+3,3.40E+1,5.25E+3,3.40E+1,7.83E+3,6.03E-2,-1.15E+1,6.03E-2
78,97,175Pt,-8.30E+3,4.28E+1,7.68E+3,2.23E+1,6.66E+3,2.23E+1,7.86E+3,1.06E-1,4.11E-1,1.06E-1
78,96,174Pt,-1.12E+4,1.02E+2,5.46E+3,1.52E+1,4.44E+3,1.52E+1,7.86E+3,5.94E-2,-5.25,5.94E-2
78,99,177Pt,-7.82E+3,1.79E+1,6.67E+3,2.48E+1,5.65E+3,2.48E+1,7.89E+3,8.47E-2,2.09,8.47E-2
78,98,176Pt,-1.04E+4,3.55E+1,4.94E+3,1.50E+1,3.92E+3,1.50E+1,7.88E+3,7.22E-2,-8.13E-1,7.22E-2
79,92,171Au,-1.09E+4,3.07E+2,9.90E+3,8.35E+1,8.88E+3,8.35E+1,7.75E+3,1.21E-1,-2.33E+1,1.21E-1
79,92,171Au,-1.09E+4,3.07E+2,9.90E+3,8.35E+1,8.88E+3,8.35E+1,7.75E+3,1.21E-1,-2.33E+1,1.21E-1
79,91,170Au,-9.11E+3,3.62E+2,1.25E+4,2.02E+2,1.15E+4,2.02E+2,7.73E+3,1.00,-2.88E+1,1.00
79,91,170Au,-9.11E+3,3.62E+2,1.25E+4,2.02E+2,1.15E+4,2.02E+2,7.73E+3,1.00,-2.88E+1,1.00
79,94,173Au,-1.01E+4,2.02E+2,9.10E+3,6.73E+1,8.08E+3,6.73E+1,7.78E+3,1.31E-1,-1.42E+1,1.31E-1
79,94,173Au,-1.01E+4,2.02E+2,9.10E+3,6.73E+1,8.08E+3,6.73E+1,7.78E+3,1.31E-1,-1.42E+1,1.31E-1
79,93,172Au,-8.25E+3,1.40E+2,1.17E+4,5.71E+1,1.07E+4,5.71E+1,7.76E+3,3.26E-1,-1.83E+1,3.26E-1
79,93,172Au,-8.25E+3,1.40E+2,1.17E+4,5.71E+1,1.07E+4,5.71E+1,7.76E+3,3.26E-1,-1.83E+1,3.26E-1
79,96,175Au,-9.43E+3,8.97E+1,8.30E+3,4.28E+1,7.28E+3,4.28E+1,7.81E+3,2.20E-1,-6.61,2.20E-1
79,96,175Au,-9.43E+3,8.97E+1,8.30E+3,4.28E+1,7.28E+3,4.28E+1,7.81E+3,2.20E-1,-6.61,2.20E-1
79,95,174Au,-7.41E+3,1.02E+2,1.12E+4,1.02E+2,1.02E+4,1.02E+2,7.79E+3,1.00,-9.07,1.00
79,95,174Au,-7.41E+3,1.02E+2,1.12E+4,1.02E+2,1.02E+4,1.02E+2,7.79E+3,1.00,-9.07,1.00
79,98,177Au,-8.76E+3,8.53E+1,7.82E+3,1.79E+1,6.80E+3,1.79E+1,7.84E+3,5.63E-2,-1.82,5.63E-2
79,98,177Au,-8.76E+3,8.53E+1,7.82E+3,1.79E+1,6.80E+3,1.79E+1,7.84E+3,5.63E-2,-1.82,5.63E-2
79,97,176Au,-6.73E+3,3.49E+1,1.04E+4,3.55E+1,9.39E+3,3.55E+1,7.82E+3,1.88E-1,-3.40,1.88E-1
79,97,176Au,-6.73E+3,3.49E+1,1.04E+4,3.55E+1,9.39E+3,3.55E+1,7.82E+3,1.88E-1,-3.40,1.88E-1
79,99,178Au,-5.98E+3,1.48E+1,9.69E+3,1.44E+1,8.67E+3,1.44E+1,7.84E+3,5.76E-2,9.21E-1,5.76E-2
79,99,178Au,-5.98E+3,1.48E+1,9.69E+3,1.44E+1,8.67E+3,1.44E+1,7.84E+3,5.76E-2,9.21E-1,5.76E-2
79,109,188Au,-2.17E+3,7.30,5.44E+3,5.95,4.42E+3,5.95,7.91E+3,1.44E-2,3.12,1.44E-2
79,100,179Au,-8.05E+3,3.04E+1,7.27E+3,1.41E+1,6.25E+3,1.41E+1,7.86E+3,6.53E-2,1.92,6.53E-2
79,103,182Au,-4.72E+3,2.11E+1,7.86E+3,2.28E+1,6.84E+3,2.28E+1,7.88E+3,1.03E-1,3.99,1.03E-1
79,104,183Au,-6.38E+3,1.17E+1,5.58E+3,1.70E+1,4.55E+3,1.70E+1,7.89E+3,5.15E-2,4.80,5.15E-2
79,101,180Au,-5.37E+3,1.35E+1,8.80E+3,1.11E+1,7.78E+3,1.11E+1,7.87E+3,2.64E-2,2.97,2.64E-2
79,102,181Au,-7.21E+3,2.52E+1,6.51E+3,2.42E+1,5.48E+3,2.42E+1,7.88E+3,1.10E-1,4.06,1.10E-1
79,107,186Au,-3.17E+3,2.39E+1,6.14E+3,3.02E+1,5.12E+3,3.02E+1,7.90E+3,1.12E-1,3.70,1.12E-1
79,108,187Au,-4.91E+3,2.59E+1,3.65E+3,2.74E+1,2.63E+3,2.74E+1,7.91E+3,1.20E-1,3.42,1.20E-1
79,108,187Au,-4.91E+3,2.59E+1,3.65E+3,2.74E+1,2.63E+3,2.74E+1,7.91E+3,1.20E-1,3.42,1.20E-1
79,105,184Au,-3.97E+3,2.42E+1,7.01E+3,2.67E+1,5.99E+3,2.67E+1,7.90E+3,1.21E-1,4.26,1.21E-1
79,105,184Au,-3.97E+3,2.42E+1,7.01E+3,2.67E+1,5.99E+3,2.67E+1,7.90E+3,1.21E-1,4.26,1.21E-1
79,106,185Au,-5.67E+3,1.38E+1,4.82E+3,2.59E+1,3.80E+3,2.59E+1,7.90E+3,1.41E-2,4.81,1.41E-2
79,106,185Au,-5.67E+3,1.38E+1,4.82E+3,2.59E+1,3.80E+3,2.59E+1,7.90E+3,1.41E-2,4.81,1.41E-2
79,110,189Au,-3.95E+3,3.74E+1,2.88E+3,2.24E+1,1.86E+3,2.24E+1,7.92E+3,1.06E-1,1.44,1.06E-1
79,110,189Au,-3.95E+3,3.74E+1,2.88E+3,2.24E+1,1.86E+3,2.24E+1,7.92E+3,1.06E-1,1.44,1.06E-1
79,111,190Au,-1.46E+3,1.62E+1,4.47E+3,3.50,3.45E+3,3.50,7.91E+3,1.81E-2,-2.24E-1,1.81E-2
79,111,190Au,-1.46E+3,1.62E+1,4.47E+3,3.50,3.45E+3,3.50,7.91E+3,1.81E-2,-2.24E-1,1.81E-2
79,114,193Au,-2.34E+3,1.43E+1,1.07E+3,8.76,5.28E+1,8.76,7.92E+3,4.49E-2,-6.69,4.49E-2
79,114,193Au,-2.34E+3,1.43E+1,1.07E+3,8.76,5.28E+1,8.76,7.92E+3,4.49E-2,-6.69,4.49E-2
79,115,194Au,-2.79E+1,3.58,2.54E+3,2.11,1.52E+3,2.11,7.91E+3,1.09E-2,-9.47,1.09E-2
79,115,194Au,-2.79E+1,3.58,2.54E+3,2.11,1.52E+3,2.11,7.91E+3,1.09E-2,-9.47,1.09E-2
79,115,194Au,-2.79E+1,3.58,2.54E+3,2.11,1.52E+3,2.11,7.91E+3,1.09E-2,-9.47,1.09E-2
79,112,191Au,-3.20E+3,2.27E+1,1.90E+3,6.42,8.78E+2,6.42,7.92E+3,2.58E-2,-2.45,2.58E-2
79,112,191Au,-3.20E+3,2.27E+1,1.90E+3,6.42,8.78E+2,6.42,7.92E+3,2.58E-2,-2.45,2.58E-2
79,113,192Au,-7.60E+2,2.21E+1,3.51E+3,1.56E+1,2.49E+3,1.56E+1,7.92E+3,8.24E-2,-4.42,8.24E-2
79,113,192Au,-7.60E+2,2.21E+1,3.51E+3,1.56E+1,2.49E+3,1.56E+1,7.92E+3,8.24E-2,-4.42,8.24E-2
79,118,197Au,-5.99E+2,3.20,-7.19E+2,5.02E-1,-1.74E+3,5.02E-1,7.91E+3,2.80E-3,-1.74E+1,2.80E-3
79,118,197Au,-5.99E+2,3.20,-7.19E+2,5.02E-1,-1.74E+3,5.02E-1,7.91E+3,2.80E-3,-1.74E+1,2.80E-3
79,119,198Au,1.37E+3,4.90E-1,3.23E+2,2.05,-6.98E+2,2.05,7.90E+3,2.70E-3,-2.15E+1,2.70E-3
79,119,198Au,1.37E+3,4.90E-1,3.23E+2,2.05,-6.98E+2,2.05,7.90E+3,2.70E-3,-2.15E+1,2.70E-3
79,116,195Au,-1.55E+3,2.31E+1,2.26E+2,9.99E-1,-7.95E+2,9.99E-1,7.92E+3,5.70E-3,-1.19E+1,5.70E-3
79,116,195Au,-1.55E+3,2.31E+1,2.26E+2,9.99E-1,-7.95E+2,9.99E-1,7.92E+3,5.70E-3,-1.19E+1,5.70E-3
79,117,196Au,6.87E+2,3.11,1.50E+3,2.96,4.83E+2,2.96,7.91E+3,1.51E-2,-1.51E+1,1.51E-2
79,117,196Au,6.87E+2,3.11,1.50E+3,2.96,4.83E+2,2.96,7.91E+3,1.51E-2,-1.51E+1,1.51E-2
79,117,196Au,6.87E+2,3.11,1.50E+3,2.96,4.83E+2,2.96,7.91E+3,1.51E-2,-1.51E+1,1.51E-2
79,121,200Au,2.26E+3,2.67E+1,-6.40E+2,3.34E+1,-1.66E+3,3.34E+1,7.89E+3,1.33E-1,-2.69E+1,1.33E-1
79,121,200Au,2.26E+3,2.67E+1,-6.40E+2,3.34E+1,-1.66E+3,3.34E+1,7.89E+3,1.33E-1,-2.69E+1,1.33E-1
79,122,201Au,1.26E+3,3.14,-2.66E+3,5.00E+1,-3.68E+3,5.00E+1,7.89E+3,1.60E-2,-2.80E+1,1.60E-2
79,120,199Au,4.52E+2,6.12E-1,-1.70E+3,2.12,-2.72E+3,2.12,7.90E+3,2.70E-3,-2.29E+1,2.70E-3
79,125,204Au,4.30E+3,2.00E+2,-2.77E+3,2.83E+2,-3.79E+3,2.83E+2,7.86E+3,1.00,-3.52E+1,1.00
79,126,205Au,3.71E+3,2.00E+2,-5.75E+3,3.61E+2,-6.77E+3,3.61E+2,7.86E+3,1.00,-3.42E+1,1.00
79,126,205Au,3.71E+3,2.00E+2,-5.75E+3,3.61E+2,-6.77E+3,3.61E+2,7.86E+3,1.00,-3.42E+1,1.00
79,123,202Au,2.99E+3,2.32E+1,-1.66E+3,3.42E+1,-2.68E+3,3.42E+1,7.88E+3,1.15E-1,-3.24E+1,1.15E-1
79,124,203Au,2.12E+3,3.45,-3.63E+3,2.00E+2,-4.65E+3,2.00E+2,7.88E+3,1.52E-2,-3.32E+1,1.52E-2
79,129,208Au,7.35E+3,3.02E+2,-5.41E+3,5.00E+2,-6.43E+3,5.00E+2,7.80E+3,1.00,-1.83E+1,1.00
79,127,206Au,6.75E+3,3.01E+2,-4.95E+3,4.24E+2,-5.97E+3,4.24E+2,7.84E+3,1.00,-3.01E+1,1.00
79,128,207Au,5.84E+3,3.01E+2,-6.50E+3,5.00E+2,-7.52E+3,5.00E+2,7.82E+3,1.00,-2.24E+1,1.00
79,130,209Au,6.38E+3,4.27E+2,,,,,7.78E+3,2.00,-1.07E+1,2.00
79,131,210Au,7.98E+3,4.47E+2,,,,,7.76E+3,2.00,-6.65,2.00
80,90,170Hg,,,9.11E+3,3.62E+2,8.09E+3,3.62E+2,7.67E+3,2.00,-4.30E+1,2.00
80,94,174Hg,,,7.41E+3,1.02E+2,6.39E+3,1.02E+2,7.74E+3,1.10E-1,-2.10E+1,1.10E-1
80,93,173Hg,,,1.01E+4,2.02E+2,9.14E+3,2.02E+2,7.72E+3,1.00,-2.43E+1,1.00
80,92,172Hg,,,8.25E+3,1.40E+2,7.23E+3,1.40E+2,7.71E+3,8.72E-1,-3.18E+1,8.72E-1
80,91,171Hg,,,1.09E+4,3.07E+2,9.87E+3,3.07E+2,7.68E+3,2.00,-3.57E+1,2.00
80,98,178Hg,-1.17E+4,1.03E+2,5.98E+3,1.48E+1,4.96E+3,1.48E+1,7.81E+3,6.04E-2,-7.45,6.04E-2
80,97,177Hg,-9.43E+3,8.74E+1,8.76E+3,8.53E+1,7.74E+3,8.53E+1,7.78E+3,4.78E-1,-7.75,4.78E-1
80,96,176Hg,-1.23E+4,8.37E+1,6.73E+3,3.49E+1,5.71E+3,3.49E+1,7.78E+3,6.32E-2,-1.33E+1,6.32E-2
80,95,175Hg,,,9.43E+3,8.97E+1,8.41E+3,8.97E+1,7.75E+3,4.63E-1,-1.47E+1,4.63E-1
80,99,179Hg,-8.66E+3,4.77E+1,8.05E+3,3.04E+1,7.03E+3,3.04E+1,7.81E+3,1.57E-1,-2.29,1.57E-1
80,103,183Hg,-7.21E+3,1.17E+1,6.38E+3,1.17E+1,5.36E+3,1.17E+1,7.85E+3,3.87E-2,2.20,3.87E-2
80,104,184Hg,-9.46E+3,1.38E+1,3.97E+3,2.42E+1,2.95E+3,2.42E+1,7.87E+3,5.18E-2,9.65E-1,5.18E-2
80,105,185Hg,-6.42E+3,2.47E+1,5.67E+3,1.38E+1,4.65E+3,1.38E+1,7.87E+3,7.37E-2,3.50,7.37E-2
80,105,185Hg,-6.42E+3,2.47E+1,5.67E+3,1.38E+1,4.65E+3,1.38E+1,7.87E+3,7.37E-2,3.50,7.37E-2
80,106,186Hg,-8.65E+3,2.37E+1,3.17E+3,2.39E+1,2.15E+3,2.39E+1,7.88E+3,6.26E-2,1.12,6.26E-2
80,107,187Hg,-5.67E+3,1.51E+1,4.91E+3,2.59E+1,3.88E+3,2.59E+1,7.88E+3,6.88E-2,2.99,6.88E-2
80,107,187Hg,-5.67E+3,1.51E+1,4.91E+3,2.59E+1,3.88E+3,2.59E+1,7.88E+3,6.88E-2,2.99,6.88E-2
80,108,188Hg,-7.86E+3,3.06E+1,2.17E+3,7.30,1.15E+3,7.30,7.89E+3,3.61E-2,6.01E-2,3.61E-2
80,109,189Hg,-5.01E+3,3.26E+1,3.95E+3,3.74E+1,2.93E+3,3.74E+1,7.89E+3,1.66E-1,7.58E-1,1.66E-1
80,109,189Hg,-5.01E+3,3.26E+1,3.95E+3,3.74E+1,2.93E+3,3.74E+1,7.89E+3,1.66E-1,7.58E-1,1.66E-1
80,110,190Hg,-7.00E+3,1.74E+1,1.46E+3,1.62E+1,4.40E+2,1.62E+1,7.90E+3,8.37E-2,-2.32,8.37E-2
80,111,191Hg,-4.30E+3,2.34E+1,3.20E+3,2.27E+1,2.18E+3,2.27E+1,7.90E+3,1.16E-1,-2.41,1.16E-1
80,111,191Hg,-4.30E+3,2.34E+1,3.20E+3,2.27E+1,2.18E+3,2.27E+1,7.90E+3,1.16E-1,-2.41,1.16E-1
80,112,192Hg,-6.13E+3,3.52E+1,7.60E+2,2.21E+1,-2.61E+2,2.21E+1,7.91E+3,8.09E-2,-5.64,8.09E-2
