z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
8,18,26O,1.59E+4,1.96E+2,,,,,6.49E+3,6.34,-6.19E+2,6.34
8,15,23O,1.13E+4,1.26E+2,-2.20E+4,4.37E+2,-2.31E+4,4.37E+2,7.16E+3,5.29,-4.39E+2,5.29
8,16,24O,1.09E+4,1.91E+2,-2.84E+4,4.33E+2,-2.94E+4,4.33E+2,7.03E+3,6.86,-5.17E+2,6.86
8,10,18O,-1.65E+3,4.63E-1,-1.38E+4,1.85E+1,-1.49E+4,1.85E+1,7.76E+3,2.00E-4,1.99E+2,2.00E-4
8,13,21O,8.10E+3,1.21E+1,-1.71E+4,1.34E+2,-1.81E+4,1.34E+2,7.38E+3,5.71E-1,-1.06E+2,5.71E-1
8,14,22O,6.48E+3,5.82E+1,-2.24E+4,2.15E+2,-2.35E+4,2.15E+2,7.36E+3,2.58,-2.31E+2,2.58
8,11,19O,4.82E+3,2.63,-1.25E+4,1.66E+1,-1.35E+4,1.66E+1,7.56E+3,1.38E-1,1.31E+2,1.38E-1
8,12,20O,3.81E+3,8.85E-1,-1.79E+4,7.88E+1,-1.89E+4,7.88E+1,7.56E+3,4.42E-2,8.41E+1,4.42E-2
8,20,28O,1.86E+4,7.09E+2,,,,,5.98E+3,2.50E+1,-7.53E+2,2.50E+1
8,3,11O,,,2.33E+4,6.02E+1,2.23E+4,6.02E+1,3.16E+3,5.45,-1.93E+3,5.45
8,4,12O,,,1.46E+4,1.20E+1,1.36E+4,1.20E+1,4.88E+3,1.00,-7.16E+2,1.00
8,5,13O,-1.89E+4,5.00E+2,1.77E+4,9.53,1.67E+4,9.53,5.81E+3,7.32E-1,-2.31E+2,7.32E-1
8,6,14O,-2.39E+4,4.11E+1,5.14E+3,2.52E-2,4.12E+3,2.52E-2,7.05E+3,1.80E-3,-1.56E+2,1.80E-3
8,7,15O,-1.37E+4,1.40E+1,2.75E+3,4.90E-1,1.73E+3,4.90E-1,7.46E+3,3.27E-2,-1.50E+2,3.27E-2
8,8,16O,-1.54E+4,5.36,-1.04E+4,2.30,-1.14E+4,2.30,7.97E+3,2.00E-4,-1.18E+2,2.00E-4
8,9,17O,-2.76E+3,2.47E-1,-8.67E+3,1.50E+1,-9.70E+3,1.50E+1,7.75E+3,2.00E-4,5.91E+1,2.00E-4
9,18,27F,1.80E+4,1.50E+2,-1.95E+4,5.14E+2,-2.05E+4,5.14E+2,6.87E+3,4.45,-2.85E+2,4.45
9,19,28F,2.21E+4,1.74E+2,-1.86E+4,7.09E+2,-1.96E+4,7.09E+2,6.62E+3,4.29,-3.94E+2,4.29
9,16,25F,1.33E+4,1.00E+2,-1.59E+4,1.91E+2,-1.70E+4,1.91E+2,7.33E+3,3.85,-2.07E+2,3.85
9,17,26F,1.81E+4,1.08E+2,-1.59E+4,1.96E+2,-1.70E+4,1.96E+2,7.08E+3,4.11,-3.07E+2,4.11
9,17,26F,1.81E+4,1.08E+2,-1.59E+4,1.96E+2,-1.70E+4,1.96E+2,7.08E+3,4.11,-3.07E+2,4.11
9,10,19F,-3.23E+3,1.60E-1,-4.82E+3,2.63,-5.84E+3,2.63,7.77E+3,2.00E-4,1.96E+2,2.00E-4
9,11,20F,7.02E+3,2.97E-2,-3.81E+3,8.85E-1,-4.83E+3,8.85E-1,7.72E+3,1.50E-3,1.34E+2,1.50E-3
9,14,23F,8.43E+3,3.33E+1,-1.13E+4,1.26E+2,-1.23E+4,1.26E+2,7.62E+3,1.44,-2.85E+1,1.44
9,15,24F,1.34E+4,9.76E+1,-1.09E+4,1.91E+2,-1.19E+4,1.91E+2,7.46E+3,4.06,-1.94E+2,4.06
9,12,21F,5.68E+3,1.80,-8.10E+3,1.21E+1,-9.13E+3,1.21E+1,7.73E+3,8.57E-2,1.79E+2,8.57E-2
9,13,22F,1.08E+4,1.23E+1,-6.48E+3,5.82E+1,-7.51E+3,5.82E+1,7.62E+3,5.63E-1,3.69E+1,5.63E-1
9,21,30F,2.56E+4,5.61E+2,,,,,6.20E+3,1.70E+1,-5.30E+2,1.70E+1
9,22,31F,2.56E+4,5.97E+2,,,,,6.01E+3,1.70E+1,-5.44E+2,1.70E+1
9,20,29F,2.17E+4,5.46E+2,,,,,6.44E+3,1.81E+1,-4.12E+2,1.81E+1
9,5,14F,,,2.39E+4,4.11E+1,2.29E+4,4.11E+1,5.28E+3,2.93,-6.36E+2,2.93
9,6,15F,-2.36E+4,6.81E+1,1.37E+4,1.40E+1,1.26E+4,1.40E+1,6.49E+3,9.33E-1,-3.35E+2,9.33E-1
9,7,16F,-1.33E+4,2.11E+1,1.54E+4,5.36,1.43E+4,5.36,6.96E+3,3.35E-1,-1.50E+2,3.35E-1
9,8,17F,-1.45E+4,4.32E-1,2.76E+3,2.47E-1,1.73E+3,2.47E-1,7.54E+3,1.46E-2,-7.92,1.46E-2
