Z,N,A,element,level_index,level_energy_keV,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw
11,26,37,Na,0,0.0,,53134.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100"
12,6,18,Mg,0,0.0,0+,,,3.962608695652174e-21,chart,False,True,OTHER,2p ~ 100 
12,7,19,Mg,0,0.0,1/2-,31838.394,,3.5000000000000004e-12,chart,False,False,OTHER,2p ~ 100 
12,8,20,Mg,0,0.0,0+,17477.694,,0.0904,chart,False,False,EC_BP,"ECp = 29.9 1.1,EC+B+ = 100"
12,9,21,Mg,0,0.0,5/2+,10903.851,,0.12,chart,False,False,EC_BP,"ECa = 0.115 0.019,EC+B+ = 100 ,ECp = 20.9 1.3"
12,10,22,Mg,0,0.0,0+,-399.986,,3.87445,chart,False,False,EC_BP,EC+B+ = 100 
12,11,23,Mg,0,0.0,3/2+,-5473.675,,11.3042,chart,False,False,EC_BP,EC+B+ = 100 
12,12,24,Mg,0,0.0,0+,-13933.578,78.965,,none,True,False,STABLE,
12,13,25,Mg,0,0.0,5/2+,-13192.782,10.011,,none,True,False,STABLE,
12,14,26,Mg,0,0.0,0+,-16214.544,11.025,,none,True,False,STABLE,
12,15,27,Mg,0,0.0,1/2+,-14586.594,,566.1,chart,False,False,B-,B- = 100 
12,16,28,Mg,0,0.0,0+,-15019.946,,75294.0,chart,False,False,B-,B- = 100 
12,17,29,Mg,0,0.0,3/2+,-10612.36,,1.31,chart,False,False,B-,B- = 100 
12,18,30,Mg,0,0.0,0+,-8881.373,,0.314,chart,False,False,B-,"B- = 100,B-n = 0.06 "
12,19,31,Mg,0,0.0,1/2+,-3122.152,,0.27,chart,False,False,B-,"B- = 100,B-n = 6.2 1.9"
12,20,32,Mg,0,0.0,0+,-828.901,,0.0804,chart,False,False,B-,"B- = 100,B-n = 5.5 0.5"
12,21,33,Mg,0,0.0,3/2-,4962.873,,0.0902,chart,False,False,B-,"B-n = 14 2,B-2n?,B- = 100"
12,22,34,Mg,0,0.0,0+,8323.324,,0.0449,chart,False,False,B-,"B-n = 21 7,B-2n?,B- = 100"
12,23,35,Mg,0,0.0,(5/2-),15639.786,,0.0113,chart,False,False,B-,"B-n = 52 46,B-2n?,B- = 100"
12,24,36,Mg,0,0.0,0+,20380.159,,0.0072,chart,False,False,B-,"B-n = 48 12,B-2n?,B- = 100"
12,25,37,Mg,0,0.0,(3/2-),28211.478,,0.0064,chart,False,False,B-,"B-n?,B-2n?,B- = 100"
12,26,38,Mg,0,0.0,0+,34074.0,,0.0031,chart,False,False,B-,"B-n?,B-2n?,B- = 100 "
12,28,40,Mg,0,0.0,0+,49550.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100"
13,8,21,Al,0,0.0,(5/2+),27090.0,,3.5e-08,chart,False,False,OTHER,p?
13,9,22,Al,0,0.0,(4)+,18201.0,,0.0886,chart,False,False,EC_BP,"EC+B+ = 100,ECp = 57.7 0.6,ECa = 0.079 0.041,EC2p = 1.17 0.07"
13,10,23,Al,0,0.0,5/2+,6748.071,,0.447,chart,False,False,EC_BP,"ECp = 1.04 0.03,EC+B+ = 100 "
13,11,24,Al,0,0.0,4+,-48.812,,2.053,chart,False,False,EC_BP,"ECa = 0.035 0.006,EC+B+ = 100 ,ECp = 0.0016 0.0003"
13,11,24,Al,1,425.8,1+,376.988,,0.13069999999999998,wallet,False,False,IT,"ECa = 0.028 0.006,EC+B+ = 29.4 2.3,IT = 70.6 2.3"
13,12,25,Al,0,0.0,5/2+,-8915.974,,7.1666,chart,False,False,EC_BP,EC+B+ = 100 
13,13,26,Al,0,0.0,5+,-12210.139,,22613986814400.0,chart,False,False,EC_BP,EC+B+ = 100 
13,13,26,Al,1,228.305,0+,-11981.834,,6.34603,wallet,False,False,EC_BP,EC+B+ = 100 
13,14,27,Al,0,0.0,5/2+,-17196.864,100.0,,none,True,False,STABLE,
13,15,28,Al,0,0.0,3+,-16850.719,,134.898,chart,False,False,B-,B- = 100 
13,16,29,Al,0,0.0,5/2+,-18207.762,,393.6,chart,False,False,B-,B- = 100 
13,17,30,Al,0,0.0,3+,-15864.116,,3.61,chart,False,False,B-,B- = 100 
13,18,31,Al,0,0.0,5/2(+),-14950.709,,0.644,chart,False,False,B-,"B- = 100,B-n = 1.6 "
13,19,32,Al,0,0.0,1+,-11099.368,,0.0317,chart,False,False,B-,"B- = 100,B-n = 0.7 0.5"
13,20,33,Al,0,0.0,5/2+,-8497.382,,0.0415,chart,False,False,B-,"B- = 100,B-n = 8.5 0.7"
13,21,34,Al,0,0.0,4-,-2997.619,,0.05373,chart,False,False,B-,"B-n = 25 3,B-2n?,B- = 100"
13,21,34,Al,1,46.47,1+,-2951.1490000000003,,0.0221,wallet,False,False,B-,"B-n = 11 4,B-2n?,B- = 100"
13,22,35,Al,0,0.0,(5/2+),-223.73,,0.0384,chart,False,False,B-,"B-n = 38 2,B-2n?,B- = 100"
13,23,36,Al,0,0.0,,5950.384,,0.09,chart,False,False,B-,"B-n = 31 ,B-2n?,B- = 100"
13,24,37,Al,0,0.0,(5/2+),9809.564,,0.0114,chart,False,False,B-,"B-n = 52 5,B-2n = 1 ,B- = 100"
13,25,38,Al,0,0.0,(0-),16470.0,,0.009,chart,False,False,B-,"B-n = 84 19,B-2n?,B- = 100"
13,26,39,Al,0,0.0,,21490.0,,0.00723,chart,False,False,B-,"B-n = 97 +3-22,B-2n?,B- = 100"
13,27,40,Al,0,0.0,,28820.0,,0.0057,chart,False,False,B-,"B-n?,B-2n?,B- = 100"
13,28,41,Al,0,0.0,,34590.0,,0.0035,chart,False,False,B-,"B-n?,B-2n?,B- = 100 "
13,29,42,Al,0,0.0,,41990.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100"
13,30,43,Al,0,0.0,,48270.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100"
14,8,22,Si,0,0.0,0+,33640.0,,0.0283999999999999,chart,False,False,EC_BP,"EC2p = 0.8 0.3,EC+B+ = 100,ECp = 67 12"
14,9,23,Si,0,0.0,(5/2)+,23950.0,,0.047,chart,False,False,EC_BP,"EC+B+ = 100,ECp = 81.8 1.1,EC3p = 0.029 +0.038-0.019,EC2p = 7.73 0.35"
14,10,24,Si,0,0.0,0+,10745.186,,0.1414,chart,False,False,EC_BP,"ECp = 32.4 1.1,EC+B+ = 100 "
14,11,25,Si,0,0.0,5/2+,3827.322,,0.2192,chart,False,False,EC_BP,"ECp = 35 2,EC+B+ = 100 "
14,12,26,Si,0,0.0,0+,-7141.003,,2.2452,chart,False,False,EC_BP,EC+B+ = 100 
14,13,27,Si,0,0.0,5/2+,-12384.505,,4.111,chart,False,False,EC_BP,EC+B+ = 100 
14,14,28,Si,0,0.0,0+,-21492.79711,92.2545,,none,True,False,STABLE,
14,15,29,Si,0,0.0,1/2+,-21895.08154,4.672,,none,True,False,STABLE,
14,16,30,Si,0,0.0,0+,-24432.962,3.0735,,none,True,False,STABLE,
14,17,31,Si,0,0.0,3/2+,-22949.037,,9434.4,chart,False,False,B-,B- = 100 
