Z,N,A,element,name,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw,N_over_Z
14,8,22,Si,22Si,0+,33640.0,,0.0283999999999999,chart,False,False,EC_BP,"EC2p = 0.8 0.3,EC+B+ = 100,ECp = 67 12",0.5714285714285714
14,9,23,Si,23Si,(5/2)+,23950.0,,0.047,chart,False,False,EC_BP,"EC+B+ = 100,ECp = 81.8 1.1,EC3p = 0.029 +0.038-0.019,EC2p = 7.73 0.35",0.6428571428571429
14,10,24,Si,24Si,0+,10745.186,,0.1414,chart,False,False,EC_BP,"ECp = 32.4 1.1,EC+B+ = 100 ",0.7142857142857143
14,11,25,Si,25Si,5/2+,3827.322,,0.2192,chart,False,False,EC_BP,"ECp = 35 2,EC+B+ = 100 ",0.7857142857142857
14,12,26,Si,26Si,0+,-7141.003,,2.2452,chart,False,False,EC_BP,EC+B+ = 100 ,0.8571428571428571
14,13,27,Si,27Si,5/2+,-12384.505,,4.111,chart,False,False,EC_BP,EC+B+ = 100 ,0.9285714285714286
14,14,28,Si,28Si,0+,-21492.79711,92.2545,,none,True,False,STABLE,,1.0
14,15,29,Si,29Si,1/2+,-21895.08154,4.672,,none,True,False,STABLE,,1.0714285714285714
14,16,30,Si,30Si,0+,-24432.962,3.0735,,none,True,False,STABLE,,1.1428571428571428
14,17,31,Si,31Si,3/2+,-22949.037,,9434.4,chart,False,False,B-,B- = 100 ,1.2142857142857142
14,18,32,Si,32Si,0+,-24077.689,,5153356080.0,chart,False,False,B-,B- = 100 ,1.2857142857142858
14,19,33,Si,33Si,3/2+,-20514.328,,6.17,chart,False,False,B-,B- = 100 ,1.3571428571428572
14,20,34,Si,34Si,0+,-19991.684,,2.77,chart,False,False,B-,B- = 100,1.4285714285714286
14,21,35,Si,35Si,7/2-,-14391.48,,0.78,chart,False,False,B-,"B- = 100,B-n = 5.3 ",1.5
14,22,36,Si,36Si,0+,-12436.125,,0.503,chart,False,False,B-,"B- = 100,B-n = 12.4 4.6",1.5714285714285714
14,23,37,Si,37Si,(5/2-),-6571.512,,0.141,chart,False,False,B-,"B-n = 17 13,B-2n?,B- = 100",1.6428571428571428
14,24,38,Si,38Si,0+,-4170.299,,0.063,chart,False,False,B-,"B- = 100,B-n = 25 10",1.7142857142857142
14,25,39,Si,39Si,(5/2-),2320.352,,0.0387,chart,False,False,B-,"B-n = 33 5,B-2n?,B- = 100",1.7857142857142858
14,26,40,Si,40Si,0+,5666.876,,0.0303,chart,False,False,B-,"B-n = 38 5,B-2n?,B- = 100",1.8571428571428572
14,27,41,Si,41Si,,13200.0,,0.02,chart,False,False,B-,"B-n = 0 ,B-2n?,B- = 100",1.9285714285714286
14,28,42,Si,42Si,0+,16840.0,,0.015,chart,False,False,B-,"B-n?,B-2n?,B- = 100",2.0
14,29,43,Si,43Si,,24330.0,,0.013,chart,False,False,B-,"B-n?,B-2n?,B- = 100",2.0714285714285716
